datasetid;title;description;theme;keyword;license;license_url;language;timezone;modified;modified_updates_on_metadata_change;modified_updates_on_data_change;data_processed;metadata_processed;geographic_reference;geographic_reference_auto;territory;publisher;references;records_count;attributions;source_domain;source_domain_title;source_domain_address;source_dataset;shared_catalog;federated;oauth_scope;parent_domain;dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;inspire.theme;inspire.type;inspire.file_identifier;inspire.hierarchy_level;inspire.hierarchy_level_name;inspire.spatial_resolution;inspire.topologic_consistency;inspire.contact_individual_name;inspire.contact_position;inspire.contact_address;inspire.contact_email;inspire.identification_purpose;inspire.extend_description;inspire.extend_bounding_box_westbound_longitude;inspire.extend_bounding_box_eastbound_longitude;inspire.extend_bounding_box_southbound_latitude;inspire.extend_bounding_box_northbound_latitude;dcat_ap_ch.domain;dcat_ap_ch.rights;semantic.rml_mapping;semantic.classes;semantic.properties;explore.download_count
statistiques-annuelles-de-cremations;Statistiques annuelles de crémations;"<p>Le Crématorium de Saint-Malo a ouvert ses portes fin 2012.</p><p>Il fournit annuellement des statistiques sur les crémations dont il a la charge.</p><p style=""text-align: center;""><img alt="""" src=""/assets/theme_image/crematorium-saint-malo.jpg"" style=""width: 373px; float: left; margin: 0px 10px 10px 0px;""/></p>";Administration, Gouvernement, Finances publiques, Citoyenneté;crémation, cimetière;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2017-08-11 08:08:47+00:00;;;2017-12-30 15:30:32+00:00;2017-12-30 15:30:33+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/statistiques-annuelles-de-cremations/;4;Source : SAS Gallet Crématorium, sous délégation de service public;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4
certificats-deconomies-denergie;Certificats d'économies d'énergie;Liste des opérations standardisées sur le patrimoine de la Ville de Saint-Malo, ayant fait l'objet d'un certificat d'économie d'énergie (CEE).;Environnement, Energie;énergie;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2017-10-06 07:28:27+00:00;;;2017-12-30 15:29:08+00:00;2017-12-30 15:29:09+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/certificats-deconomies-denergie/;68;;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;19
liste-des-marches-publics-conclus-en-2016-par-la-ville-de-saint-malo;Liste des marchés publics conclus en 2016 par la Ville de Saint-Malo;<p>En application de l'article 107 du décret n° 2016-360 du 25 mars 2016 relatif aux marchés publics, sont listés ici les données essentielles des marchés publics passés par la Ville de Saint-Malo en 2016.</p> <br/><div>La colonne Montant HT indique le montant initialement prévu au marché.</div> <div>En fonction du type de marché, est indiqué le montant de la première année (marchés reconductibles), le montant maximum (marchés à bons de commandes) ou le cumul de toutes les tranches (marchés à tranches conditionnelles).</div> <div>Il s'agit donc d'une autorisation de dépense, et non d'une dépense effectivement mandatée.</div>;Administration, Gouvernement, Finances publiques, Citoyenneté;finance, marché, budget, entreprise;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;;2018-01-12 15:21:08+00:00;;;2018-01-12 15:58:42+00:00;2018-01-12 15:58:43+00:00;;;;Ville de Saint-Malo;;252;Direction des Finances et des Marchés, Ville de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;18
liste-des-marches-publics-conclus-en-2017-par-la-ville-de-saint-malo;Liste des marchés publics conclus en 2017 par la Ville de Saint-Malo;"<p>Conformément à l'<a href=""https://www.legifrance.gouv.fr/eli/arrete/2017/4/14/ECFM1637256A/jo/texte"" target=""_blank"">arrêté du 14 avril 2017</a> relatif aux données essentielles dans la commande publique, sont listées ici les données essentielles des marchés publics passés par la Ville de Saint-Malo en 2017.</p> <div>La colonne Montant HT indique le montant initialement prévu au marché.</div>
 <div>En fonction du type de marché, est indiqué le montant de la première année (marchés reconductibles), le montant maximum (marchés à bons de commandes) ou le cumul de toutes les tranches (marchés à tranches conditionnelles).</div>
 <div>Il s'agit donc d'une autorisation de dépense, et non d'une dépense effectivement mandatée.</div>";Administration, Gouvernement, Finances publiques, Citoyenneté;finance, marché, budget, entreprise, contrat;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;;2018-04-05 08:25:48+00:00;;;2018-04-06 07:12:56+00:00;2018-04-06 07:12:57+00:00;;;;Ville de Saint-Malo;;230;Direction des Finances et des Marchés, Ville de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;30
arretes-de-catastrophe-naturelle;Arrêtés de catastrophe naturelle;"<p>Les arrêtés de reconnaissance de l'état de catastrophe naturelle permettent aux sinistrés de bénéficier de la prise en charge par leur assureur des dommages dus à un aléa naturel d'intensité anormale (pour plus de détails, voir l'<a href=""https://www.legifrance.gouv.fr/affichCode.do?idSectionTA=LEGISCTA000006157250&amp;cidTexte=LEGITEXT000006073984&amp;dateTexte=20090127"" target=""_blank"">article L125-1 du Code des Assurances</a>).</p><p>L'application <strong>GASPAR </strong>(Gestion Assistée des Procédures Administratives relatives aux Risques naturels et technologiques) de la Direction Générale de la Prévention des Risques (DGPR) toutes les procédures réalisées au titre de la prévention des risques, dont notamment les arrêtés de reconnaissance de l'état de catastrophe naturelle.</p><p>Le présent jeu de données fait l'extraction de la base GASPAR de tous les arrêtés concernant le territoire de Saint-Malo Agglomération.</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;risques, catastrophe, assurances, sinistralité;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2018-12-20 09:18:08+00:00;FALSE;FALSE;2019-05-14 15:53:54+00:00;2019-05-14 15:53:55+00:00;;;;SAINT-MALO AGGLOMERATION;http://www.georisques.gouv.fr/dossiers/telechargement/gaspar;71;DGPR/Saint-Malo Agglomération;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;21
population-legale-de-saint-malo;Population légale des communes de Saint-Malo Agglomération;<p>Données statistiques de la population légale, établis par l'INSEE avec la nouvelle méthode de recensement, depuis 2006.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;demographie, recensement, population;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2019-01-07 08:24:08+00:00;FALSE;FALSE;2019-01-07 08:24:57+00:00;2019-01-07 08:24:58+00:00;;;;SAINT-MALO AGGLOMERATION;http://www.insee.fr/fr/information/2008354;198;INSEE & Saint-Malo Agglomération;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;28
population-legale-de-saint-malo-agglomeration;Population légale de Saint-Malo Agglomération;<p>Données statistiques de la population légale, établis par l'INSEE (avec la nouvelle méthode de recensement depuis 2006).</p><div>Les données proposées sont établies à périmètre géographique identique, dans la géographie communale en vigueur au 01/01/2014, c'est-à-dire incluant la commune de Saint-Jouan-des-Guérets, 18ème membre de la communauté d'agglomération depuis le 1er janvier 2009.</div>;Administration, Gouvernement, Finances publiques, Citoyenneté;demographie, recensement, population;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;fr;;2019-01-07 08:46:41+00:00;FALSE;FALSE;2019-01-07 08:46:53+00:00;2019-01-07 08:46:54+00:00;;;;SAINT-MALO AGGLOMERATION;http://www.insee.fr/fr/information/2008354;13;INSEE;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;40
grandes-marees-a-saint-malo;Grandes Marées à Saint-Malo;"<p>Par convention, le coefficient 100 est attribué à la plus grande marée qui suit d’un jour et demi environ l’instant de la pleine ou de la nouvelle lune, vers les syzygies d'équinoxes (Laplace, <em>Traité de mécanique céleste,</em> tome V, 1825).</p><p>
Ce coefficient 100 correspond à une marée de vive-eau équinoxiale <strong>moyenne</strong>.</p><p>On désigne alors sous le terme de ""grandes marées"" tous les coefficients supérieurs à 100 et jusqu'à 120, le maximum théorique.</p><p>Pour chaque année, le présent jeu de données répertorie toutes les dates pour lesquelles le coefficient est supérieur à 100.</p><p>Les données complètes (coefficient, horaires, hauteurs d'eau) ne sont pas libres et sont disponibles sur le <a href=""http://maree.shom.fr/harbor/SAINT-MALO"" target=""_blank"">site du SHOM</a>.</p>";Environnement;maree, littoral, coefficient;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2019-01-07 09:59:36+00:00;FALSE;FALSE;2019-01-07 09:59:51+00:00;2019-01-07 09:59:52+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/grandes-marees-a-saint-malo/;225;http://www.shom.fr/les-services-en-ligne/predictions-de-maree/presentation/;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;105
nombre-annuel-de-mariages-a-saint-malo;Nombre annuel de mariages à Saint-Malo;<p>Nombre de mariages célébrés chaque année en mairie de Saint-Malo.</p>;Administration, Gouvernement, Finances publiques, Citoyenneté;mariage, etat-civil;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2019-01-22 10:48:53+00:00;FALSE;FALSE;2019-01-22 10:50:21+00:00;2019-01-22 10:50:22+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/nombre-annuel-de-mariages-a-saint-malo/;26;Source : Service Etat Civil de la Mairie de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7
statistiques-demographiques-a-saint-malo;Statistiques démographiques à Saint-Malo;"<p>Chiffres annuels des naissances et décès sur la commune de Saint-Malo.</p><p>Les colonnes ""INSEE"" recensent les naissances et décès domiciliés à Saint-Malo et ne concernent donc que les Malouins.</p><p>Les colonnes ""Etat civil"" recensent les naissances et décès intervenus sur le territoire de la commune et concernent les Malouins ainsi que leurs voisins venus naitre ou mourir à Saint-Malo.</p>";Administration, Gouvernement, Finances publiques, Citoyenneté;recensement, demographie, etat-civil, naissances, deces, population;Licence Ouverte (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2014/05/Licence_Ouverte.pdf;;;2019-01-22 11:03:30+00:00;FALSE;FALSE;2019-01-22 11:03:59+00:00;2019-01-22 11:04:00+00:00;;;;Ville de Saint-Malo;https://www.data.gouv.fr/fr/datasets/statistiques-demographiques-a-saint-malo/;26;INSEE + Service Etat Civil de la Mairie de Saint-Malo;;;;;;FALSE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;20
